Subject,Story,Case,Explanation 0,Explanation 1,Explanation 2,Explanation 3,Explanation 4,Explanation 5,Explanation 6,Explanation 7,Reasoning
94,food allergy,didn't eat,7,7,7,7,7,7,7,1,It makes sense for him not to eat the appetizer that contained benzatrate in all the ingredients as he was probably well aware. 
96,food allergy,didn't eat,5,5,5,5,5,5,5,4,alex is probably knowledgeable about what foods potentially contain the additive that he is allergic to
103,food allergy,didn't eat,7,7,7,7,7,7,7,1,Jacob knew that all of the appetizers had benzatrate and he knew he was allergic to it.
109,food allergy,didn't eat,5,5,5,6,6,6,7,1,"If David knew all the food had benzatrate, then not eating any of it makes sense. If he knew only one or two of the foods had benzatrate , then it doesn't explain why he didn't eat the remaining food(s). If he didn't know any of them had benzatrate, then no reason is given for why he didn't eat the foods."
118,food allergy,didn't eat,7,7,7,7,7,7,7,1,"it doesn't matter if he knew whether 1,2 or 3 ingredients contained benzatrate - he'd still be severely allergic. The last answer doesn't provide an explanation."
123,food allergy,didn't eat,6,6,6,6,6,6,6,2,"When you have allergies you need to know what foods do what, so he knew based on knowledge."
126,food allergy,didn't eat,5,5,5,5,5,6,5,2,"A person who is suffering from some kind of severe allergy has a tendency to know what kind of things could start off symptoms for that allergy, so jacob would have already researched on what foods contain benzatrate."
141,food allergy,didn't eat,5,7,6,3,3,2,5,3,Alex thought the food smelled bad
144,food allergy,didn't eat,7,7,7,7,6,7,7,3,"If she knew at least one of the ingredients contained benzatrate, that was enough to warrant her not eating the dish."
145,food allergy,didn't eat,7,7,7,7,7,7,7,2,If Alex knows that at least one of the ingredients of the appetizer contains the additive that triggers his allergic reaction then he will not eat it.
158,food allergy,didn't eat,7,7,7,7,7,7,7,1,"Jacob would probably educate himself on benzatrate since he is allergic, it's common, and most other people probably can't tell him what it is found in."
161,food allergy,didn't eat,7,7,7,7,7,7,7,1,"If David knew that any of the ingredients contained benzatrate, that would be a very good explanation for his behavior."
162,food allergy,didn't eat,6,6,6,6,6,6,6,2,i feel like he would know that these products had these things in it and would avoid them.
163,food allergy,didn't eat,6,6,6,6,6,6,6,2,"If he's severely allergic, he should know. "
170,food allergy,didn't eat,7,7,7,7,7,7,7,1,if he knew he wouldn't eat it
171,food allergy,didn't eat,4,4,5,4,5,6,4,1,"I wasn't sure if he knew or didn't know that the food items contained benzatrate. So, for some of the answers, I gave a rating of ""4."" For some of the other answers, they sounded pretty good as being a good explanation for why he didn't eat the appetizer. So, I gave those a rating of ""5"" or higher. And for the ones that were not good explanations, I gave them lower scores."
172,food allergy,didn't eat,7,7,7,6,6,6,5,2,"Since Jacob is severely allergic to benzatrate, he would probably be aware of what foods contain the additive. It's more likely he'd be aware of the additive in one food than in all three."
177,food allergy,didn't eat,7,7,7,7,7,7,7,1,"Since all of the ingredients contained benzatrate, the fact that Jacob knew any 1 of the ingredients contained benzatrate is an excellent reason for him not eating the appetizer."
179,food allergy,didn't eat,4,4,4,5,5,5,6,1,"David won't eat the appetizer if either of the 3 dishes contain benzatrate. So, I went with statements with closeness to this."
184,food allergy,didn't eat,4,4,4,4,4,4,4,4,I have no sure way of knowing that David knew.
185,food allergy,didn't eat,3,3,3,3,3,3,3,4,what does benzatrate even mean? matt didnt explain it
186,food allergy,didn't eat,7,7,7,7,7,7,7,1,"If he knew about it, obviously he wouldn't eat it."
189,food allergy,didn't eat,6,6,6,3,4,2,3,3,some sentences are redundant 
MEANS,food allergy,didn't eat,6.1063829787234045,6.1702127659574471,6.0638297872340425,5.9361702127659575,6.0212765957446805,5.8936170212765955,6.1276595744680851,2.0638297872340425

0,food allergy,ate,1,1,1,3,3,3,7,1,"It's obvious that Matt knew that whichever ingredient is not mentioned under ""didn't know"" list contains benzatrate. Say, he didn't know about 2 of 3 - maybe he thought that the volume of b. in the ingredient he knew about won't be enough to cause a severe onset of allergy. But if he didn't know about 1 of 3, it means he knew that 2 of 3 for sure contain b., and it's too careless then.to eat that appetizer. "
2,food allergy,ate,6,6,6,6,6,7,7,2,Matt woldn't have consumed the appetiser if he was aware that it contained benzatrate.
3,food allergy,ate,1,1,1,1,7,7,7,1,"If he's allergic to the substance, I think it's imperative for him to know what foods contain it so he doesn't accidentally ingest it."
11,food allergy,ate,7,7,7,7,7,7,7,1,"All those reasons were good ones, because any one would have had an effect. EXCEPT the last one. He did not know any contained it."
12,food allergy,ate,4,6,5,5,5,5,4,2,"Matt didn't know that the goat cheese contained benzatrate,and also he don't know that the bacon contained benzatrate and also he didn't know that the bell pepper contained benzatrate."
24,food allergy,ate,3,3,3,3,3,3,3,1,"I rated all of them at 3 because I think that if someone is allergic to something, they should be very aware of what foods contain the ingredient they are allergic too. The only one I rated as 1 was that he knew, that is a very bad explanation because it doesn't make sense for him to eat it if he knows it contains benzatrate."
25,food allergy,ate,7,7,7,7,7,7,7,1,Alex would not cause himself to get allergies.
28,food allergy,ate,7,7,7,7,7,7,7,1,"Since he's allergic, the only way he could have eaten the appetizer is by not knowing that it contained benzatrate"
32,food allergy,ate,7,7,5,7,7,5,7,1,if he had known he would not have ate them 
35,food allergy,ate,7,7,7,7,7,7,7,1,"It is a very good explanation that he didn't know the ingredients in the foods he ate, It is a bad explanation that he knew because he wouldn't have ate it if he knew"
39,food allergy,ate,7,7,7,7,7,7,7,1,if he knows hes allergic the only logical explanation is he had no idea the food contained the allergin
42,food allergy,ate,6,6,6,6,6,6,6,2,"If he's allergic to it, he should know what foods it is in. However, why would he intentionally hurt himself."
43,food allergy,ate,1,1,1,1,1,1,1,1,"If this is a common food additive and he is allergic to it, he will know what foods commonly contain this additive.  Ignorance is not a valid excuse when it comes to food allergies."
54,food allergy,ate,7,7,7,7,7,7,7,1,"matt didnt know that the products contain benzatrate, other wise he would not have eaten it."
59,food allergy,ate,2,4,2,4,2,4,2,2,I think it would be very unreasonable for Matt to not know that any of the products aside from bell pepper contain something he is allergic to as they are very common.
65,food allergy,ate,7,7,7,7,7,7,7,1,"If he knew at least one contained it, he would not have eaten the appetizer. "
66,food allergy,ate,1,1,1,1,1,1,7,1,He must be sure of all three to be willing to eat. So only knowing all three was a good explanation
67,food allergy,ate,4,4,4,7,7,7,7,1,He wouldn't have eaten the allergens if he'd known they were there.  It really doesn't matter how you word it.  
69,food allergy,ate,7,7,7,7,7,7,7,1,"He could have easily not known about all three, but if he KNEW about it, that wouldn't make sense."
70,food allergy,ate,4,4,4,4,4,4,4,1,"I gave him 4's for when he didn't  know, because he should have asked until he did know so it's not really a good explanation.  I gave him a 1 for when he did know, because he shouldn't have eaten it then."
75,food allergy,ate,7,7,7,7,7,7,7,1,It doesn't make any sense that he would eat the appetizer if he knew any of the ingredients contained benzatrate. It makes more sense if he didn't know that any single one of the ingredients contained benzatrate.
81,food allergy,ate,7,7,7,7,7,7,7,1,"If Jacob knew that these food items contained benzatrate, he would not have eaten them."
82,food allergy,ate,2,1,2,1,1,1,1,1,"If he is severely allergic he should know all of these things, or should have the common sense to find out before eating."
91,food allergy,ate,5,5,5,5,5,5,7,1,He would not have eaten it if he had known 
92,food allergy,ate,2,2,2,3,3,3,7,1,Since all of the food items contained benzatrate an explanation would have to contain the fact that all three of them had this additive. Listing just one or two is a bad explanation. 
95,food allergy,ate,7,7,7,7,7,7,7,1,Jacob obviously didn't know that benzatrate was in the appetizer at all.
99,food allergy,ate,3,3,3,3,3,4,1,1,"If he knows he has this allergy, he needs to be knowledgeable about what foods he's allergic to. All 3 food items contain it, so at least 1 of the 3 should have alerted him that he shouldn't eat the food. In reality, he should know all 3 are allergens."
104,food allergy,ate,5,5,5,5,5,5,5,1,"If David knew that the foods contained benzatrate, it would be a very bad explanation of why he ate the foods. If he didn't know, it would be a good explanation, but he should have asked about the ingredients, or have more knowledge of what types of foods contain the additive."
110,food allergy,ate,1,1,1,1,1,1,7,1,"I can understand it if he didn't know any of the ingredients had benzatrate, but if he knew even one of them did why would he eat the dish anyway?"
112,food allergy,ate,7,7,7,7,7,7,7,1,Alex would have only eaten the food not knowing it contained the additive he is allergic to.
115,food allergy,ate,7,7,7,7,7,7,7,1,"If he didn't know the food contained benzatrate, then it's understandable that he would eat it."
117,food allergy,ate,7,7,7,7,7,7,7,2,"If he didn't know, then eating it was not a bad idea if he felt like it."
124,food allergy,ate,1,1,1,1,1,1,7,1,The only good explanation would be that Jacob wasn't aware of the food additive in the appetizer at all. Picking and choosing implies that he was aware of benzatrate in some of the food.
125,food allergy,ate,6,6,6,7,7,7,7,1,Alex wouldn't eat the appetizers if they had food additives that dangerous to Alex.
127,food allergy,ate,6,6,6,6,6,6,6,2,David wouldn't have eaten any of them if eh knew they had benzatrate.
128,food allergy,ate,7,7,7,6,6,6,5,1,I think it's unlikely that Jacob didn't know any of them contained benzatrate. It is more likely that he didn't know a couple of the items contained this ingredient. It's very unlikely that he ate it knowing they all contained it.
130,food allergy,ate,4,4,4,4,5,5,4,4,I just did hat
131,food allergy,ate,7,7,7,7,7,7,7,1,I figured David would not eat something knowing that he was allergic to it.
134,food allergy,ate,7,7,7,7,7,7,7,1,I don't think he knew what the ingredients were that was in the appetizer because he ate them. I do not think he would have put himself at risk like that if he had known what was in the appetizers.
135,food allergy,ate,6,6,6,7,7,7,7,1,given that he is severely allergic to bebzatrate I dont think he would knowingly eat an appetizer containing so much of it
136,food allergy,ate,7,6,7,6,7,7,6,1,I'm assupming david didn't know that they were made from benzatrate therefore he ate them.
138,food allergy,ate,7,7,7,7,7,7,7,1,He ate the food only because he didn't know any component contained benzatrate.
154,food allergy,ate,5,5,5,5,5,5,5,1,He didn't know that all of them contained denzatrate or else he would have not eaten it.  So anything where it says he didn't know is true
155,food allergy,ate,1,1,1,1,1,1,1,1,He knew at least one had benzatrate i all circumstances so no reason to eat it was just
164,food allergy,ate,4,5,5,3,5,4,3,4,I think Alex was unaware of what he was doing.
167,food allergy,ate,2,2,2,3,3,3,6,1,He should have only eaten it if he didn't know it was in all three items
173,food allergy,ate,6,5,6,5,5,4,5,1,It is likely David did not know what was in the appetizers
175,food allergy,ate,7,7,7,7,7,7,7,1,why would he be that stupid if he knew it would cause a reaction unless he was wanting a pitty party
176,food allergy,ate,2,2,2,2,2,2,7,1,The only explanation that works is when matt didn't know all three ingredients contained benzatrate. If he knew of even one it is idiotic for him to eat the appetizer
178,food allergy,ate,7,7,7,7,7,7,7,1,He didnt know so almost all the sentences make perfect sense
181,food allergy,ate,1,1,1,1,1,1,1,1,"Matt should have known to ask before eating, and when in question don't eat it! "
MEANS,food allergy,ate,4.882352941176471,4.9215686274509807,4.882352941176471,5.0196078431372548,5.1764705882352944,5.1764705882352944,5.7450980392156863,1.2352941176470589

0,robbery,arrested,7,7,7,7,7,7,7,1,"Each of these crimes is enough to arrest David, so it doesn't matter whether the officer knows about all three robberies, only two of them, or only one of them."
2,robbery,arrested,6,7,6,7,7,6,6,2,Officer must have assumed that Robert could be only culprit by his experience.
3,robbery,arrested,4,4,4,5,5,5,7,1,The officer would have to have been at one of the places to see at least one of the crimes committed.  I would assume that if he were at more than one venue he would positively conclude that Matt is the serial robber.
11,robbery,arrested,7,7,7,7,7,7,7,4,Any one of these could have had him arrested. Even the last. He could have don something else.
12,robbery,arrested,4,4,5,5,5,5,7,2,"jacob was arrested because he committed three robberies, The police officer arrested him and taking custody to investigating to know about that three store robberies."
24,robbery,arrested,5,5,5,5,5,5,7,2,"All of them are pretty good explanations because if the officer KNEW that Alex committed any of the robberies, he should be arrested. The only one that doesn't make too much sense is the office arresting him without knowing. "
25,robbery,arrested,7,7,7,7,7,7,7,1,The officer should arrest someone if they know they committed the crime.
28,robbery,arrested,7,7,7,7,7,7,7,1,"It's a small town, it's was easy for the officer to know what stores Matt had robbed."
32,robbery,arrested,5,6,7,5,6,7,6,2,i think he was where all the robberys were at the time 
35,robbery,arrested,7,7,7,7,7,7,7,1,"The officer knew Alex had robbed a store, I feel that the combination of which stores is all good explanations because he could have knew about one, two or all three but he at least knew one."
39,robbery,arrested,6,6,6,6,6,6,6,2,if david was arrested its a pretty good bet the police had a good suspicion he committed the robberies. they couldnt be 100% sure but sure enough to arrest him
42,robbery,arrested,7,7,7,7,7,7,7,1,"He would arrest him because no other crimes were reported that day. So since he hit up all 3 places, it couldn't have been anyone else except him."
43,robbery,arrested,7,7,7,7,7,7,7,1,If the officer knew Jacob had committed any one of the crimes that is a very good explanation for his arrest.
54,robbery,arrested,7,7,7,7,7,7,7,1,"the officer arrested alex because they knew he had committed a crime, maybe they didn't  about all of them but they knew enough to arrest him"
59,robbery,arrested,4,4,4,4,4,4,4,1,I don't know which crime(s) the officer was aware of Jacob committing.
65,robbery,arrested,7,7,7,7,7,7,7,1,"If he knows he robbed at least one of them, that's grounds for making an arrest. "
66,robbery,arrested,7,7,7,7,7,7,7,2,Any one of the crimes was sufficient to arrest. Based on that any knowledge of crime was sufficient to arrest.
67,robbery,arrested,4,4,4,4,4,4,6,1,"If the officer knew even one of them, that would be a good enough reason to arrest.  He doesn't have to know all.  "
69,robbery,arrested,7,7,7,7,7,7,7,1,"As long as the officer KNEW he robbed at least one store, he needed to be arrested."
70,robbery,arrested,7,7,7,7,7,7,7,1,"If the officer knew he did any one of the robberies that is a very good reason to arrest him.  If he didn't know, then that would be a very bad reason."
75,robbery,arrested,7,7,7,7,7,7,7,4,He would be arrested for doing any one of those robberies so if the police officer knew he did any of them he could be arrested. He could also be arrested if the police officer assigned to the cases caught him doing anything else illegal so I think the police officer not knowing he committed those robberies is also a valid explanation.
81,robbery,arrested,7,7,7,7,7,7,7,1,"The case states Alex committed 3 robberies.  If the police didn't know that Alex robbed the stores, he would not have arrested him. "
82,robbery,arrested,6,6,6,6,7,6,7,1,"If he knew the committed a robbery that is a good reason, if he knew he committed 3 that is a great reason."
91,robbery,arrested,7,7,7,7,7,7,7,1,As long as the officer knew he robbed any one of the places there was reason to arrest
92,robbery,arrested,5,5,5,6,6,6,7,1,The best explanation was that the officer was satisfied that David was arrested because he had robbed all three businesses. 
95,robbery,arrested,6,6,6,6,5,5,5,1,"He was assigned to the cases, so probably knew Matt had robbed one of the 3 places, if not all, because of video or witness descriptions or other evidence."
99,robbery,arrested,6,6,5,7,7,6,7,1,Knowing that Alex had robbed at least 1 store is a good explanation for arresting him. Knowing multiple or all 3 is a very good reason.
104,robbery,arrested,7,7,7,7,7,7,7,1,"If the officer knew and had evidence of Alex committing the crimes, then those were very good explanations. If the officer didn't know or had no evidence, then it was a very bad explanation."
110,robbery,arrested,7,7,7,7,7,7,7,1,"If the officer knew that Alex had robbed a store then yes, Alex should be arrested. However, if the officer didn't know, I don't feel that Alex should be arrested in that case."
112,robbery,arrested,7,7,7,7,7,7,7,1,The police officer wouldn't have arrested David if he wasn't confident that he committed the crimes.
115,robbery,arrested,7,7,7,7,7,7,7,1,The officer would've had to known that he robbed any of those stores to justify an arrest.
117,robbery,arrested,7,7,7,7,7,7,7,1,"If the officer knew he robbed some place, that seems like a good reason to arrest him."
124,robbery,arrested,7,7,7,7,7,7,7,1,"In every case where the officer knew that Matt had committed a crime it is a very good explanation for arrest. In the option where the officer isn't aware of the robberies being committed by Matt there could still be another reason for his arrest, but it isn't a good explanation. "
125,robbery,arrested,4,4,4,6,6,5,7,1,The officer knew about all the crimes he committed.
127,robbery,arrested,6,6,6,6,6,6,6,2,If he was arrested he must have known that he did all or one of those things.
128,robbery,arrested,7,7,7,7,7,7,7,1,I think it makes sense that Matt would be arrested if the office knew he had robbed any of the businesses. He would not have been arrested if the officer didn't know he had committed any robberies.
130,robbery,arrested,4,4,4,4,4,4,3,4,I just chose those
131,robbery,arrested,7,7,7,7,7,7,7,1,The officer would not have arrested Matt with out evidence.
134,robbery,arrested,7,7,7,7,7,7,7,1,They obviously had video footage or some other type of evidence that pointed towards Jacob and so the officer did his job by arresting Jacob.
135,robbery,arrested,6,6,5,7,7,6,7,1,the police were obviously aware of some or all of his crimes that is why he got arrested 
136,robbery,arrested,7,7,7,7,7,7,7,1,The officer knew that Alex committed the three robberies. Very tricky these ones are.
138,robbery,arrested,3,3,3,3,3,3,3,1,"The officer shouldn't know, but rather suspect, that he robbed the places since he should be innocent until proven guilty."
154,robbery,arrested,3,4,4,4,3,4,4,1,"On this one, the officer knows that he did ONE of the crimes.  He may know that he did all of the crimes, but to arrest Matt, he only needs to know about one of them.  So it's possible he knows of the others but not 100% sure."
155,robbery,arrested,5,5,5,6,6,6,7,2,The more reason the police had makes it a better reason to arrest him
164,robbery,arrested,5,6,3,3,5,4,4,4,I feel like Matt deserves what was coming to him.
167,robbery,arrested,4,4,5,5,5,5,6,1,Knowing he committed all three robberies is the best explanation for arresting him
173,robbery,arrested,4,5,4,4,5,4,5,4,I think that if the police knew he had robbed more than one place it is likely he robbed all three. 
175,robbery,arrested,4,4,4,4,4,4,4,4,he knew he robbed something one or all does not matter when arresting
176,robbery,arrested,7,7,7,7,7,7,6,1,"If the officer new that david committed either just one or all three robberies, the arrest was justified and a good enough explanation. If the officer didn't know about the robberies, then the arrest makes zero sense."
178,robbery,arrested,5,5,5,5,5,5,5,2,It can be assumed he may have known.. but he could also just be a suspect at this point too
181,robbery,arrested,1,1,1,1,1,1,1,1,"it doesn't mention anything about ""how"" the officer knew "
MEANS,robbery,arrested,5.8235294117647056,5.9215686274509807,5.8431372549019605,6.0,6.0588235294117645,5.9607843137254903,6.2352941176470589,1.5294117647058822

4,robbery,didn't arrest,5,5,7,6,6,6,7,1,Unless the police officer is corrupt or heavily biased the only likely reason he did not arrest Matt would be if he wasn't aware that Matt had committed any crimes.
9,robbery,didn't arrest,3,4,5,4,4,5,4,4,"I just guessed on this one, I have no idea who knew what."
18,robbery,didn't arrest,7,7,7,7,7,7,7,1,"Since Jacob was not arrested, the office must not have seen sufficient evidence for him to believe that Jacob had committed the crime. "
23,robbery,didn't arrest,7,7,7,7,7,7,7,1,"If the officer didn't know, he doesn't have a suspect to arrest."
27,robbery,didn't arrest,7,7,7,7,7,7,7,1,"Since Alex was not arrested and all three robberies are arrestable offenses, I would say that the officer didn't know that he had solved any of the three stores. If he knew he had robbed just one store, he would have arrested him, but the officer did not arrest Alex, so he didn't know that he was behind any of the three offenses. "
33,robbery,didn't arrest,5,5,5,5,5,1,7,1,the police officer didn't know jacob robbed the three rabberies 
34,robbery,didn't arrest,7,7,7,7,7,7,7,1,"IF THE OFFICER WAS UNAWARE THAT DAVE HAD COMMITTED THE ROBBERIES, HE WAS NOT OBLIGATED TO MAKE AN ARREST."
40,robbery,didn't arrest,5,5,5,5,5,5,5,1,"Perhaps security cameras were not clear enough to know the identity of the robber, so the officer may not have known it was Alex who was responsible.  If the officer knew Alex was responsible for anything, that is a lousy explanation. The officer would try to arrest Alex, and knowledge of the crime would not factor into Alex not getting arrested."
41,robbery,didn't arrest,7,7,7,7,7,7,7,1,the officer didn't know yet 
44,robbery,didn't arrest,3,4,6,6,5,5,3,4,Seemed like the best choice
48,robbery,didn't arrest,6,3,6,5,4,2,3,2,looked right 
52,robbery,didn't arrest,1,1,1,1,1,1,1,1,"None of them are good explanations, it says the police officer (not plural) assigned to the cases did not arrest Jacob that day. So they definitely should know who he was from cam footage from the stores, and he should be arrested. Unless by didnt know, you mean that they didn't know he was the suspect, he made a clean get away, they have no suspects, it isn't clear from your wording."
56,robbery,didn't arrest,7,7,7,7,7,7,7,1,The officer knew robberies took place but had no idea that Jacob had performed the robberies.
57,robbery,didn't arrest,6,6,6,6,6,6,6,1,If the officer did not know he robbed any stores he is not to blame for not arresting him. 
58,robbery,didn't arrest,6,6,6,6,6,6,6,1,I doubt they'd not arrest him if the police knew
60,robbery,didn't arrest,6,6,6,6,6,6,6,1,need suspicion for arreest
61,robbery,didn't arrest,4,4,3,5,7,5,5,1,"It made sense that the officer didn't make an arrest if he didn't know whether or not Matt committed certain crimes. It made no sense for the officer not to make an arrest if he knew that Matt committed a crime. The more crimes that the officer was not aware of Matt committing, the more reasonable it would be for the officer to not arrest Matt."
62,robbery,didn't arrest,7,7,7,7,7,7,7,1,If he didnt suspect Jacob there would be no reason to arrest him. 
73,robbery,didn't arrest,2,2,2,3,2,2,2,1,"As a police oficer, it is quiet easy to catch the robbers. And alex had made three robberies on the same day so it would easy to catch him.It is very bad for the police officer not catching alex."
76,robbery,didn't arrest,4,4,4,4,4,4,4,1,"I think that if the officer knows and he did not arrest the suspect then that is negligence and is unacceptable. However, not knowing if someone committed a crime may not be that acceptable but can be explained as a lack of communication or lack of quickness in information dissemination and not entirely the officer's fault."
79,robbery,didn't arrest,1,1,1,1,1,1,7,1,"Unless the officer didn't know about any of the robberies, he'd arrest the suspect."
80,robbery,didn't arrest,7,7,7,7,7,7,7,1,If the officer did not know Alex committed a crime he would not have arrested him so any of the options are valid. 
86,robbery,didn't arrest,7,7,7,7,7,7,7,1,The police officer did not know yet if Matt was the person who robbed the stores. 
88,robbery,didn't arrest,4,4,4,4,4,4,5,2,He had to make sure he had the full story before any action was taken. 
94,robbery,didn't arrest,5,7,7,7,7,7,7,1,I felt it was a good explanation if in case the officer didn't know David commited the crimes and a bad explanation if he did know as that seems to be what makes sense to me. 
96,robbery,didn't arrest,6,6,6,6,6,6,6,2,the police officer doesn't know who committed the robberies
103,robbery,didn't arrest,1,7,7,1,1,1,7,1,The officer didn't know Alex committed any crimes that day so he didn't arrest him.
109,robbery,didn't arrest,7,7,7,7,7,7,7,4,"If the officer had not known Jacob had done any of the robberies, it made sense he didn't arrest him. If he had known Jacob committed any of the robberies, but didn't arrest him, it could be that the officer couldn't find Jacob."
118,robbery,didn't arrest,1,1,1,1,1,1,7,1,"The only very good explanation, without further information, is that the officer didn't know he had robbed any of the stores. But it doesn't mean that there's not a good explanation for other answers - he may have been arrested later, or questioned in respect of other offences."
123,robbery,didn't arrest,6,6,6,6,6,6,6,2,The cop pretty much had no idea as there was probably no evidence.
126,robbery,didn't arrest,6,6,6,6,6,6,6,2,"It happens very less that even after police officer knowing who did the crime , he doesn't arrest him. It is most probably that police officer didn't knew who did it."
141,robbery,didn't arrest,7,6,6,3,5,3,7,4,The officers liked David
144,robbery,didn't arrest,6,6,5,4,5,5,6,2,"Even if he didn't know about one of the robberies, he could have still been a suspect for the other two robberies."
145,robbery,didn't arrest,2,2,2,2,3,3,7,1,"If the officer didn't know that Jacob was the thief then he should't arrest him, until he is sure.  If the officer was sure that Jacob was the thief on at least one of the cases then he should arrest him. "
158,robbery,didn't arrest,7,7,7,7,7,7,7,1,There's no evidence that the officer knew Alex was involved. The officer would have no reason to arrest Alex without suspicion.
161,robbery,didn't arrest,1,7,1,1,1,1,7,1,"If the officer didn't know that Matt had committed any robberies, that is a very good explanation. If the officer knew Matt committed any robberies that is a very bad explanation."
162,robbery,didn't arrest,6,6,6,6,6,6,6,2,the police officer must not have known that it was him or else he would have been arrested.
163,robbery,didn't arrest,7,7,7,7,7,7,7,1,"If the officer knew, then Alex would most likely be arrested. "
170,robbery,didn't arrest,7,7,7,7,7,7,7,1,if he didn't know he'd have no reason to arrest him
171,robbery,didn't arrest,5,5,6,6,6,6,6,1,"For the explanations that sounded good, I gave them high ratings and for the ones that sounded bad, I gave them low ratings."
172,robbery,didn't arrest,2,6,6,7,7,7,7,1,It would make sense for the officer not to arrest Alex if he didn't know for sure he had robbed any one of the businesses.
177,robbery,didn't arrest,4,4,4,4,4,4,7,1,The officer should arrest Matt if he knew Matt committed any of the three robberies.  The fact that he didn't know Matt committed robberies at 1 or 2 locations doesn't mean he knew Matt committed the robberies at the remaining locations.  There is not enough information to determine what the officer knew or didn't know on these questions.
179,robbery,didn't arrest,5,5,5,6,6,6,6,1,"If officer comes to know about at least one of the 3 events, he would have arrested Jacob. So. I went with statements close to agreement with this."
184,robbery,didn't arrest,7,7,7,7,7,7,7,1,The officer didn't lock him up so he couldn't have known Jacob committed those crimes.
185,robbery,didn't arrest,5,5,5,5,5,5,5,1,makes sense
186,robbery,didn't arrest,7,7,7,7,7,7,7,1,Obviously you can't arrest someone if you don't have any kind of reasonable suspcision.
189,robbery,didn't arrest,6,7,6,3,3,2,2,3,some sound confusing
MEANS,robbery,didn't arrest,5.1063829787234045,5.4680851063829783,5.4680851063829783,5.2340425531914896,5.2978723404255321,5.0851063829787231,5.9787234042553195,1.446808510638298

4,locks,got keys,3,3,2,4,4,4,7,1,If it is probable that at least one of the doors is locked then it would seem most efficient to always get the keys before trying to get in the door.
9,locks,got keys,4,3,5,3,4,4,5,4,I can't call this one either way honestly.
18,locks,got keys,1,1,1,1,1,1,1,4,The locks are not always locked. 
